	KO	Species	B1T24	B2T24	B3T24	B1T48	B2T48	B3T48
1	K00003	Agathobacter_rectalis	751.364610726835	639.061707046595	874.641430524651	309.774237682889	770.664050010474	781.683761433038
2	K00005	Coprococcus_catus	9.47098248815338	3.132655426699	0	3.82437330472702	5.51261838347978	10.9581835714912
3	K00008	Lachnospiraceae_bacterium	620.349352974046	379.051306630578	179.843257106601	626.24112864905	390.293381550369	300.436866251717
4	K00012	Coprococcus_catus	20.5204620576657	41.7687390226533	4.46815545606463	15.2974932189081	28.6656155940949	119.626837322112
5	K00013	Coprococcus_catus	71.0323686611503	35.5034281692553	15.6385440962262	33.4632664163614	31.9731866241828	145.195932322258
6	K00014	Agathobacter_rectalis	655.076288763942	497.047994369574	785.278321403358	338.457037468341	782.791810454129	767.072850004383
7	K00016	Coprococcus_catus	4.73549124407669	3.132655426699	2.23407772803231	8.6048399356358	9.92271309026361	17.3504573215277
8	K00018	Roseburia_intestinalis	162.585199379966	98.1565367032352	119.523158449729	58.3216928970871	73.8690863386291	40.180006428801
9	K00020	Coprococcus_catus	42.6194211966902	20.8843695113266	8.93631091212925	23.9023331545439	27.5630919173989	121.453201250694
10	K00024	Bacteroides_ovatus	2735.53544199497	3138.92073755239	10706.8175115949	803.118393992674	588.747643355641	685.79965518249
11	K00027	Anaerobutyricum_soehngenii	58.4043920102792	60.5646715828473	10.0533497761454	30.5949864378162	40.7933760377504	75.7941030361474
12	K00029	Bacteroides_ovatus	219.411094308887	176.47292237071	555.16831541603	332.720477511251	570.00474085181	703.150112504018
13	K00031	Bacteroides_ovatus	1365.39997537545	2143.78053033768	2704.35108978312	426.417623477063	433.291804941511	394.494608573683
14	K00033	Bacteroides_xylanisolvens	3119.11023276518	4225.95217061695	3590.16290894793	365.227650601431	458.649849505518	514.121445895795
15	K00036	Bacteroides_xylanisolvens	705.588195367427	1009.75926587264	1299.11619885079	209.384438433804	275.630919173989	288.565500715935
16	K00040	Roseburia_intestinalis	195.733638088503	140.969494201455	56.968982064824	69.7948128112681	197.351738128576	153.414570000877
17	K00041	Bacteroides_ovatus	293.600457132755	243.302904806955	1447.68236776494	158.711492146171	190.736596068401	215.51094357266
18	K00045	Bacteroides_xylanisolvens	44.1979182780491	37.591865120388	67.0223318409694	62.1460662018141	138.917983263691	135.150930715058
19	K00046	Faecalibacterium_prausnitzii	198.890632251221	92.9354443254036	272.557482819942	317.422984292343	431.086757588119	351.575056252009
20	K00048	Subdoligranulum_variabile	9.47098248815338	1.04421847556633	30.1600493284362	16.2535865450898	45.2034707445342	98.6236521434207
21	K00052	Roseburia_intestinalis	29.991444545819	40.7245205470869	43.5645156966301	8.6048399356358	24.2555208873111	19.1768212501096
22	K00053	Faecalibacterium_prausnitzii	192.576643925785	139.925275725888	403.251029909833	437.890743391244	543.544172611107	471.201893574121
23	K00057	Bacteroides_ovatus	161.006702298607	159.765426761649	599.849869976676	201.73569182435	359.422718602882	334.224598930481
24	K00058	Agathobacter_rectalis	0	0	0	0.956093326181755	1.10252367669596	0
25	K00059	Subdoligranulum_variabile	34.7269357898957	31.32655426699	55.8519432008078	103.25807922763	94.8170361958523	206.379123929751
26	K00067	Bacteroides_ovatus	47.3549124407669	20.8843695113266	56.968982064824	96.5654259443573	119.072557083163	145.195932322258
27	K00068	Anaerobutyricum_soehngenii	17.3634678949479	9.39796628009699	3.35111659204847	3.82437330472702	26.460568240703	13.697729464364
