	KO	Species	B1T24	B2T24	B3T24	B1T48	B2T48	B3T48
1	K00003	Agathobacter_rectalis	148.292378986721	134.891967403753	127.812570292833	55.8669428746715	128.260599114617	127.332217490568
2	K00003	Anaerobutyricum_soehngenii	22.4307800147981	32.620933293718	3.26468889636865	8.79387063767977	20.7345460657392	37.4856528126437
3	K00003	Coprococcus_catus	27.4153977958643	25.5677585275087	9.30436335465066	10.6905878340421	6.97267920794768	49.9808704168583
4	K00003	Eubacterium_siraeum	265.430896841777	247.742763663102	58.111462355362	78.4551203949862	81.1032686819178	70.6574805000229
5	K00003	Faecalibacterium_prausnitzii	45.7961758635461	41.2169900400356	82.2701601884901	138.287926498415	160.922096457108	101.746771920033
6	K00003	Lachnospiraceae_bacterium	8.41154250554928	3.96741080599273	28.8924967328626	33.6236230264226	47.3408219908027	41.5019727568556
7	K00003	Roseburia_intestinalis	33.3346314108805	26.4494053732849	8.32495668574007	3.79343439272461	8.44061167277877	3.42130958210637
8	K00003	Subdoligranulum_variabile	6.54231083764944	4.84905765176889	9.79406668910596	38.4516304353449	31.7440395519723	27.9654870189564
9	K00005	Anaerobutyricum_soehngenii	93.461583394992	145.030906130179	7.9984877961032	69.3163920852405	56.515399895997	161.099055540052
10	K00005	Coprococcus_catus	1.86923166789984	0.661235134332122	0	0.689715344131747	0.917457790519432	1.78503108631637
11	K00005	Eubacterium_siraeum	792.242688578216	854.756616979989	92.064226877596	366.756134242056	266.246250808739	84.6402240095011
12	K00005	Lachnospiraceae_bacterium	55.7654114256786	95.8790944781576	21.0572433815778	47.4179299090576	63.3045875458408	80.6239040652893
13	K00008	Agathobacter_rectalis	43.303866973013	34.3842269852703	67.7422945996496	36.3824844029496	82.5712011467488	98.3254623379266
14	K00008	Anaerobutyricum_soehngenii	36.7615561353635	49.5926350749091	0.979406668910596	1.37943068826349	8.073628556571	63.8148613358102
15	K00008	Bacteroides_ovatus	10.9038513960824	8.37564503487354	10.7734733580166	20.6914603239524	33.7624466911151	37.7831579936965
16	K00008	Bacteroides_xylanisolvens	13.0846216752989	4.40823422888081	5.87644001346358	8.10415529354802	16.5142402293498	16.0652797768473
17	K00008	Lachnospiraceae_bacterium	129.288523696406	84.8585089059556	32.3204200740497	125.183334959912	80.1858108913983	61.4348198873883
