"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0.0416666666666667,0,0.0416666666666667,0,0.0208333333333333,0.0625,0,0
"2",0.106382978723404,0,0.106382978723404,0.0425531914893617,0.0425531914893617,0.0212765957446809,0.0638297872340425,0.0638297872340425,0.0425531914893617,0.0425531914893617
"3",0.0943396226415094,0.0566037735849057,0,0.0566037735849057,0.0943396226415094,0.0377358490566038,0.0566037735849057,0.0754716981132075,0.0377358490566038,0.0188679245283019
"4",0.2,0.114285714285714,0.114285714285714,0,0.0857142857142857,0.0857142857142857,0.114285714285714,0.0857142857142857,0.114285714285714,0.0857142857142857
"5",0.111111111111111,0.0444444444444444,0.0666666666666667,0.0444444444444444,0,0.0666666666666667,0.0444444444444444,0.0444444444444444,0.0222222222222222,0
"6",0.170212765957447,0.0851063829787234,0.106382978723404,0.0638297872340425,0.127659574468085,0,0.0851063829787234,0.106382978723404,0.0638297872340425,0.0851063829787234
"7",0.122448979591837,0.0612244897959184,0.0612244897959184,0.0816326530612245,0.0612244897959184,0.0204081632653061,0,0.0204081632653061,0.0408163265306122,0.0204081632653061
"8",0.173076923076923,0.115384615384615,0.0961538461538462,0.0576923076923077,0.0769230769230769,0.0384615384615385,0.0576923076923077,0,0.0384615384615385,0.0384615384615385
"9",0.137254901960784,0.0588235294117647,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0392156862745098,0.0588235294117647,0.0588235294117647,0,0.0196078431372549
"10",0.194444444444444,0.111111111111111,0.111111111111111,0.0833333333333333,0.111111111111111,0.0833333333333333,0.0833333333333333,0.0555555555555556,0.0833333333333333,0
