"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0.875,0.541666666666667,0.3125,0.541666666666667,0.583333333333333,0.604166666666667,0.645833333333333,0.583333333333333,0.458333333333333
"2",0.893617021276596,1,0.531914893617021,0.361702127659574,0.595744680851064,0.553191489361702,0.659574468085106,0.638297872340426,0.595744680851064,0.51063829787234
"3",0.490566037735849,0.471698113207547,1,0.358490566037736,0.60377358490566,0.566037735849057,0.716981132075472,0.60377358490566,0.735849056603774,0.490566037735849
"4",0.428571428571429,0.485714285714286,0.542857142857143,1,0.657142857142857,0.685714285714286,0.628571428571429,0.657142857142857,0.6,0.571428571428571
"5",0.577777777777778,0.622222222222222,0.711111111111111,0.511111111111111,1,0.733333333333333,0.733333333333333,0.911111111111111,0.822222222222222,0.644444444444444
"6",0.595744680851064,0.553191489361702,0.638297872340426,0.51063829787234,0.702127659574468,1,0.638297872340426,0.787234042553192,0.787234042553192,0.617021276595745
"7",0.591836734693878,0.63265306122449,0.775510204081633,0.448979591836735,0.673469387755102,0.612244897959184,1,0.693877551020408,0.816326530612245,0.551020408163265
"8",0.596153846153846,0.576923076923077,0.615384615384615,0.442307692307692,0.788461538461538,0.711538461538462,0.653846153846154,1,0.692307692307692,0.615384615384615
"9",0.549019607843137,0.549019607843137,0.764705882352941,0.411764705882353,0.725490196078431,0.725490196078431,0.784313725490196,0.705882352941177,1,0.588235294117647
"10",0.611111111111111,0.666666666666667,0.722222222222222,0.555555555555556,0.805555555555556,0.805555555555556,0.75,0.888888888888889,0.833333333333333,1
